timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,comp_allowed,hv,iso_duty,safe,up_s
2026-07-20 21:11:07.896,,,,,,28.17,929.6,19.0,-40.0,1.0,1.0,0.0,0.0,0.0,237.0
2026-07-20 21:11:08.096,,,,,,28.17,929.6,19.0,-40.0,1.0,1.0,0.0,0.0,0.0,237.0
2026-07-20 21:11:08.321,,,,,,28.18,929.6,19.0,-40.0,1.0,1.0,0.0,0.0,0.0,237.0
2026-07-20 21:11:08.495,,,,,,28.18,929.6,19.0,-40.0,1.0,1.0,0.0,0.0,0.0,237.0
2026-07-20 21:11:08.697,,,,,,28.17,929.5,19.3,-40.0,1.0,1.0,0.0,0.0,0.0,237.0
2026-07-20 21:11:08.897,,,,,,28.17,929.5,19.3,-40.0,1.0,1.0,0.0,0.0,0.0,238.0
2026-07-20 21:11:09.096,,,,,,28.17,929.5,19.3,-40.0,1.0,1.0,0.0,0.0,0.0,238.0
2026-07-20 21:11:09.297,,,,,,28.17,929.5,18.8,-40.0,1.0,1.0,0.0,0.0,0.0,238.0
2026-07-20 21:11:09.496,,,,,,28.17,929.5,18.8,-40.0,1.0,1.0,0.0,0.0,0.0,238.0
2026-07-20 21:11:09.697,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,238.0
2026-07-20 21:11:09.896,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,239.0
2026-07-20 21:11:10.097,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,239.0
2026-07-20 21:11:10.296,,,,,,28.15,929.5,18.6,-40.0,1.0,1.0,0.0,0.0,0.0,239.0
2026-07-20 21:11:10.496,,,,,,28.15,929.5,18.6,-40.0,1.0,1.0,0.0,0.0,0.0,239.0
2026-07-20 21:11:10.697,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,239.0
2026-07-20 21:11:10.896,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,240.0
2026-07-20 21:11:11.095,,,,,,28.17,929.6,18.9,-40.0,1.0,1.0,0.0,0.0,0.0,240.0
2026-07-20 21:11:11.296,,,,,,28.17,929.6,18.8,-40.0,1.0,1.0,0.0,0.0,0.0,240.0
2026-07-20 21:11:11.513,,,,,,28.17,929.6,18.8,-40.0,1.0,1.0,0.0,0.0,0.0,240.0
2026-07-20 21:11:11.720,,,,,,28.17,929.6,19.3,-40.0,0.0,0.0,0.0,0.0,0.0,241.0
2026-07-20 21:11:11.924,,,,,,28.17,929.6,19.3,-40.0,0.0,0.0,0.0,0.0,0.0,241.0
2026-07-20 21:11:12.123,,,,,,28.17,929.6,19.3,-40.0,0.0,0.0,0.0,0.0,0.0,241.0
