timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,hv,iso_duty,safe,up_s
2026-07-16 19:10:41.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,213.0
2026-07-16 19:10:41.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,213.0
2026-07-16 19:10:41.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,213.0
2026-07-16 19:10:41.759,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,213.0
2026-07-16 19:10:41.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,214.0
2026-07-16 19:10:42.173,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,214.0
2026-07-16 19:10:42.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,214.0
2026-07-16 19:10:42.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,214.0
2026-07-16 19:10:42.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,214.0
2026-07-16 19:10:42.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,215.0
2026-07-16 19:10:43.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,215.0
2026-07-16 19:10:43.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,215.0
2026-07-16 19:10:43.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,215.0
2026-07-16 19:10:43.759,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,215.0
2026-07-16 19:10:43.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,216.0
2026-07-16 19:10:44.159,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,216.0
2026-07-16 19:10:44.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,216.0
2026-07-16 19:10:44.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,216.0
2026-07-16 19:10:44.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,216.0
2026-07-16 19:10:44.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,217.0
2026-07-16 19:10:45.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,217.0
2026-07-16 19:10:45.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,217.0
2026-07-16 19:10:45.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,217.0
2026-07-16 19:10:45.759,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,217.0
2026-07-16 19:10:45.995,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,218.0
2026-07-16 19:10:46.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,218.0
2026-07-16 19:10:46.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,218.0
2026-07-16 19:10:46.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,218.0
2026-07-16 19:10:46.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,218.0
2026-07-16 19:10:46.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,219.0
2026-07-16 19:10:47.159,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,219.0
2026-07-16 19:10:47.359,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,219.0
2026-07-16 19:10:47.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,219.0
