timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,hv,iso_duty,safe,up_s
2026-07-20 15:20:56.535,0.0,,,,,29.04,927.9,19.3,-40.0,0.0,1.0,0.0,0.0,35.0
2026-07-20 15:20:56.779,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,36.0
2026-07-20 15:20:56.934,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,36.0
2026-07-20 15:20:57.134,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,36.0
2026-07-20 15:20:57.334,0.0,,,,,29.04,927.9,19.4,-40.0,0.0,1.0,0.0,0.0,36.0
2026-07-20 15:20:57.534,0.0,,,,,29.04,927.9,19.4,-40.0,0.0,1.0,0.0,0.0,36.0
2026-07-20 15:20:57.778,0.0,,,,,29.04,927.9,19.2,-40.0,0.0,1.0,0.0,0.0,37.0
2026-07-20 15:20:57.934,0.0,,,,,29.04,927.9,19.2,-40.0,0.0,1.0,0.0,0.0,37.0
2026-07-20 15:20:58.134,0.0,,,,,29.04,927.9,19.2,-40.0,0.0,1.0,0.0,0.0,37.0
2026-07-20 15:20:58.334,0.0,,,,,29.03,927.8,18.4,-40.0,0.0,1.0,0.0,0.0,37.0
2026-07-20 15:20:58.534,0.0,,,,,29.03,927.8,18.4,-40.0,0.0,1.0,0.0,0.0,37.0
2026-07-20 15:20:58.778,0.0,,,,,29.03,927.9,18.3,-40.0,0.0,1.0,0.0,0.0,38.0
2026-07-20 15:20:58.934,0.0,,,,,29.03,927.9,18.3,-40.0,0.0,1.0,0.0,0.0,38.0
2026-07-20 15:20:59.134,0.0,,,,,29.03,927.9,18.3,-40.0,0.0,1.0,0.0,0.0,38.0
2026-07-20 15:20:59.334,0.0,,,,,29.04,927.8,18.3,-40.0,0.0,1.0,0.0,0.0,38.0
2026-07-20 15:20:59.534,0.0,,,,,29.04,927.8,18.3,-40.0,0.0,1.0,0.0,0.0,38.0
2026-07-20 15:20:59.778,0.0,,,,,29.04,927.8,19.4,-40.0,0.0,1.0,0.0,0.0,39.0
2026-07-20 15:20:59.934,0.0,,,,,29.04,927.8,19.4,-40.0,0.0,1.0,0.0,0.0,39.0
2026-07-20 15:21:00.140,0.0,,,,,29.04,927.8,19.4,-40.0,0.0,1.0,0.0,0.0,39.0
2026-07-20 15:21:00.334,0.0,,,,,29.03,927.8,19.1,-40.0,0.0,1.0,0.0,0.0,39.0
2026-07-20 15:21:00.535,0.0,,,,,29.03,927.8,19.1,-40.0,0.0,1.0,0.0,0.0,39.0
2026-07-20 15:21:00.778,0.0,,,,,29.03,927.9,18.5,-40.0,0.0,1.0,0.0,0.0,40.0
2026-07-20 15:21:00.934,0.0,,,,,29.03,927.9,18.5,-40.0,0.0,1.0,0.0,0.0,40.0
2026-07-20 15:21:01.134,0.0,,,,,29.03,927.9,18.5,-40.0,0.0,1.0,0.0,0.0,40.0
2026-07-20 15:21:01.334,0.0,,,,,29.03,927.9,18.6,-40.0,0.0,1.0,0.0,0.0,40.0
2026-07-20 15:21:01.534,0.0,,,,,29.03,927.9,18.6,-40.0,0.0,1.0,0.0,0.0,40.0
2026-07-20 15:21:01.778,0.0,,,,,29.03,927.8,18.8,-40.0,0.0,1.0,0.0,0.0,41.0
2026-07-20 15:21:01.935,0.0,,,,,29.03,927.8,18.8,-40.0,0.0,1.0,0.0,0.0,41.0
2026-07-20 15:21:02.134,0.0,,,,,29.03,927.8,18.8,-40.0,0.0,1.0,0.0,0.0,41.0
2026-07-20 15:21:02.334,0.0,,,,,29.03,927.8,18.8,-40.0,0.0,1.0,0.0,0.0,41.0
2026-07-20 15:21:02.534,0.0,,,,,29.03,927.8,18.8,-40.0,0.0,1.0,0.0,0.0,41.0
2026-07-20 15:21:02.778,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,42.0
2026-07-20 15:21:02.934,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,42.0
2026-07-20 15:21:03.134,0.0,,,,,29.04,927.9,19.1,-40.0,0.0,1.0,0.0,0.0,42.0
2026-07-20 15:21:03.334,0.0,,,,,29.03,927.9,18.8,-40.0,0.0,1.0,0.0,0.0,42.0
2026-07-20 15:21:03.534,0.0,,,,,29.03,927.9,18.8,-40.0,0.0,1.0,0.0,0.0,42.0
2026-07-20 15:21:03.778,0.0,,,,,29.03,927.9,18.8,-40.0,0.0,1.0,0.0,0.0,43.0
