timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,hv,iso_duty,safe,up_s
2026-07-18 19:40:23.305,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,72.0
2026-07-18 19:40:23.550,0.0,,,,,27.9,929.7,35.8,-40.0,0.0,1.0,0.0,0.0,73.0
2026-07-18 19:40:23.705,0.0,,,,,27.9,929.7,35.8,-40.0,0.0,1.0,0.0,0.0,73.0
2026-07-18 19:40:23.905,0.0,,,,,27.9,929.7,35.8,-40.0,0.0,1.0,0.0,0.0,73.0
2026-07-18 19:40:24.105,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,73.0
2026-07-18 19:40:24.305,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,73.0
2026-07-18 19:40:24.549,0.0,,,,,27.9,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,74.0
2026-07-18 19:40:24.706,0.0,,,,,27.9,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,74.0
2026-07-18 19:40:24.905,0.0,,,,,27.9,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,74.0
2026-07-18 19:40:25.105,0.0,,,,,27.89,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,74.0
2026-07-18 19:40:25.305,0.0,,,,,27.89,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,74.0
2026-07-18 19:40:25.549,0.0,,,,,27.89,929.7,36.2,-40.0,0.0,1.0,0.0,0.0,75.0
2026-07-18 19:40:25.715,0.0,,,,,27.89,929.7,36.2,-40.0,0.0,1.0,0.0,0.0,75.0
2026-07-18 19:40:25.905,0.0,,,,,27.89,929.7,36.2,-40.0,0.0,1.0,0.0,0.0,75.0
2026-07-18 19:40:26.105,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,75.0
2026-07-18 19:40:26.305,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,75.0
2026-07-18 19:40:26.549,0.0,,,,,27.89,929.8,35.9,-40.0,0.0,1.0,0.0,0.0,76.0
2026-07-18 19:40:26.706,0.0,,,,,27.89,929.8,35.9,-40.0,0.0,1.0,0.0,0.0,76.0
2026-07-18 19:40:26.905,0.0,,,,,27.89,929.8,35.9,-40.0,0.0,1.0,0.0,0.0,76.0
2026-07-18 19:40:27.105,0.0,,,,,27.9,929.7,36.1,-40.0,0.0,1.0,0.0,0.0,76.0
2026-07-18 19:40:27.305,0.0,,,,,27.9,929.7,36.1,-40.0,0.0,1.0,0.0,0.0,76.0
2026-07-18 19:40:27.550,0.0,,,,,27.9,929.8,35.6,-40.0,0.0,1.0,0.0,0.0,77.0
2026-07-18 19:40:27.721,0.0,,,,,27.9,929.8,35.6,-40.0,0.0,1.0,0.0,0.0,77.0
2026-07-18 19:40:27.905,0.0,,,,,27.9,929.8,35.6,-40.0,0.0,1.0,0.0,0.0,77.0
2026-07-18 19:40:28.105,0.0,,,,,27.89,929.8,36.3,-40.0,0.0,1.0,0.0,0.0,77.0
2026-07-18 19:40:28.305,0.0,,,,,27.89,929.8,36.3,-40.0,0.0,1.0,0.0,0.0,77.0
2026-07-18 19:40:28.550,0.0,,,,,27.89,929.7,35.6,-40.0,0.0,1.0,0.0,0.0,78.0
2026-07-18 19:40:28.718,0.0,,,,,27.89,929.7,35.6,-40.0,0.0,1.0,0.0,0.0,78.0
2026-07-18 19:40:28.906,0.0,,,,,27.89,929.7,35.6,-40.0,0.0,1.0,0.0,0.0,78.0
2026-07-18 19:40:29.105,0.0,,,,,27.89,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,78.0
2026-07-18 19:40:29.305,0.0,,,,,27.89,929.7,35.9,-40.0,0.0,1.0,0.0,0.0,78.0
2026-07-18 19:40:29.549,0.0,,,,,27.89,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,79.0
2026-07-18 19:40:29.724,0.0,,,,,27.89,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,79.0
2026-07-18 19:40:29.905,0.0,,,,,27.89,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,79.0
2026-07-18 19:40:30.105,0.0,,,,,27.89,929.7,36.2,-40.0,0.0,1.0,0.0,0.0,79.0
2026-07-18 19:40:30.305,0.0,,,,,27.89,929.7,36.2,-40.0,0.0,1.0,0.0,0.0,79.0
2026-07-18 19:40:30.549,0.0,,,,,27.89,929.8,35.8,-40.0,0.0,1.0,0.0,0.0,80.0
2026-07-18 19:40:30.719,0.0,,,,,27.89,929.8,35.8,-40.0,0.0,1.0,0.0,0.0,80.0
2026-07-18 19:40:30.905,0.0,,,,,27.89,929.8,35.8,-40.0,0.0,1.0,0.0,0.0,80.0
2026-07-18 19:40:31.105,0.0,,,,,27.89,929.7,36.3,-40.0,0.0,1.0,0.0,0.0,80.0
2026-07-18 19:40:31.317,0.0,,,,,27.89,929.7,36.3,-40.0,0.0,1.0,0.0,0.0,80.0
2026-07-18 19:40:31.548,0.0,,,,,27.9,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,81.0
2026-07-18 19:40:31.705,0.0,,,,,27.9,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,81.0
2026-07-18 19:40:31.905,0.0,,,,,27.9,929.7,35.7,-40.0,0.0,1.0,0.0,0.0,81.0
2026-07-18 19:40:32.105,0.0,,,,,27.89,929.7,35.5,-40.0,0.0,1.0,0.0,0.0,81.0
2026-07-18 19:40:32.305,0.0,,,,,27.89,929.7,35.5,-40.0,0.0,1.0,0.0,0.0,81.0
2026-07-18 19:40:32.549,0.0,,,,,27.89,929.7,36.0,-40.0,0.0,1.0,0.0,0.0,82.0
