timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,comp_allowed,hv,iso_duty,safe,up_s
2026-07-20 21:56:35.502,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-07-20 21:56:35.703,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-07-20 21:56:35.902,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-07-20 21:56:36.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-07-20 21:56:36.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-20 21:56:36.503,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-20 21:56:36.702,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-20 21:56:36.902,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-20 21:56:37.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-20 21:56:37.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,6.0
2026-07-20 21:56:37.515,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,6.0
2026-07-20 21:56:37.703,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,6.0
2026-07-20 21:56:37.902,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,6.0
2026-07-20 21:56:38.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,6.0
2026-07-20 21:56:38.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,7.0
2026-07-20 21:56:38.516,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,7.0
2026-07-20 21:56:38.703,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,7.0
2026-07-20 21:56:38.903,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,7.0
2026-07-20 21:56:39.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,7.0
2026-07-20 21:56:39.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-07-20 21:56:39.521,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-07-20 21:56:39.702,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-07-20 21:56:39.902,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-07-20 21:56:40.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-07-20 21:56:40.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-20 21:56:40.518,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-20 21:56:40.703,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-20 21:56:40.902,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-20 21:56:41.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,9.0
2026-07-20 21:56:41.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,10.0
2026-07-20 21:56:41.521,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,10.0
2026-07-20 21:56:41.702,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,10.0
2026-07-20 21:56:41.903,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,10.0
2026-07-20 21:56:42.102,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,10.0
2026-07-20 21:56:42.381,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-07-20 21:56:42.519,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-07-20 21:56:42.701,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-07-20 21:56:42.902,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-07-20 21:56:43.102,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-07-20 21:56:43.342,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 21:56:43.521,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 21:56:43.702,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 21:56:43.902,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 21:56:44.102,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 21:56:44.342,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:44.513,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:44.701,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:44.901,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:45.116,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:45.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,13.0
2026-07-20 21:56:45.522,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,14.0
2026-07-20 21:56:45.701,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,14.0
2026-07-20 21:56:45.901,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,14.0
2026-07-20 21:56:46.102,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,14.0
2026-07-20 21:56:46.342,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,14.0
2026-07-20 21:56:46.516,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,15.0
2026-07-20 21:56:46.701,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,15.0
2026-07-20 21:56:46.901,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,15.0
2026-07-20 21:56:47.101,,,,,,,,,-40.0,0.0,0.0,0.0,0.0,0.0,15.0
2026-07-20 21:56:47.343,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,15.0
2026-07-20 21:56:47.530,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,16.0
2026-07-20 21:56:47.728,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,16.0
2026-07-20 21:56:47.929,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,16.0
2026-07-20 21:56:48.129,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,16.0
2026-07-20 21:56:48.342,,,,,,,,,-40.0,1.0,1.0,0.0,0.0,0.0,17.0
2026-07-20 21:56:48.542,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,17.0
2026-07-20 21:56:48.741,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,17.0
2026-07-20 21:56:48.940,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,17.0
2026-07-20 21:56:49.140,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,17.0
2026-07-20 21:56:49.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,18.0
2026-07-20 21:56:49.548,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,18.0
2026-07-20 21:56:49.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,18.0
2026-07-20 21:56:49.947,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,18.0
2026-07-20 21:56:50.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,18.0
2026-07-20 21:56:50.348,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,19.0
2026-07-20 21:56:50.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,19.0
2026-07-20 21:56:50.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,19.0
2026-07-20 21:56:50.948,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,19.0
2026-07-20 21:56:51.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,19.0
2026-07-20 21:56:51.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,20.0
2026-07-20 21:56:51.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,20.0
2026-07-20 21:56:51.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,20.0
2026-07-20 21:56:51.947,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,20.0
2026-07-20 21:56:52.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,20.0
2026-07-20 21:56:52.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,21.0
2026-07-20 21:56:52.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,21.0
2026-07-20 21:56:52.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,21.0
2026-07-20 21:56:52.948,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,21.0
2026-07-20 21:56:53.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,21.0
2026-07-20 21:56:53.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,22.0
2026-07-20 21:56:53.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,22.0
2026-07-20 21:56:53.748,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,22.0
2026-07-20 21:56:53.947,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,22.0
2026-07-20 21:56:54.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,22.0
2026-07-20 21:56:54.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,23.0
2026-07-20 21:56:54.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,23.0
2026-07-20 21:56:54.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,23.0
2026-07-20 21:56:54.947,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,23.0
2026-07-20 21:56:55.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,23.0
2026-07-20 21:56:55.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,24.0
2026-07-20 21:56:55.547,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,24.0
2026-07-20 21:56:55.747,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,24.0
2026-07-20 21:56:55.948,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,24.0
2026-07-20 21:56:56.147,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,24.0
2026-07-20 21:56:56.347,,,,,,,,,-40.0,0.0,1.0,0.0,0.0,0.0,25.0
