timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,comp_allowed,hv,iso_duty,safe,up_s
2026-07-20 16:03:39.383,30.81,29.87,,,,28.59,927.7,20.1,-40.0,0.0,1.0,0.0,0.0,0.0,12.0
2026-07-20 16:03:39.645,30.81,29.87,,,,28.57,927.8,19.8,-40.0,0.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 16:03:39.783,30.81,29.87,,,,28.57,927.8,19.8,-40.0,0.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 16:03:39.983,30.81,29.87,,,,28.57,927.8,19.8,-40.0,0.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 16:03:40.183,30.81,29.87,,,,28.57,927.8,20.1,-40.0,0.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 16:03:40.382,30.81,29.87,,,,28.57,927.8,20.1,-40.0,0.0,1.0,0.0,0.0,0.0,13.0
2026-07-20 16:03:40.644,30.81,29.87,,,,28.57,927.8,19.7,-40.0,0.0,1.0,0.0,0.0,0.0,14.0
2026-07-20 16:03:40.783,30.81,29.87,,,,28.57,927.8,19.7,-40.0,0.0,1.0,0.0,0.0,0.0,14.0
2026-07-20 16:03:40.982,30.81,29.87,,,,28.57,927.8,19.7,-40.0,0.0,1.0,0.0,0.0,0.0,14.0
2026-07-20 16:03:41.183,30.81,29.87,,,,28.59,927.8,19.9,-40.0,0.0,1.0,0.0,0.0,0.0,14.0
2026-07-20 16:03:41.383,30.81,29.87,,,,28.59,927.8,19.9,-40.0,0.0,1.0,0.0,0.0,0.0,14.0
2026-07-20 16:03:41.645,30.81,29.87,,,,28.57,927.8,20.0,-40.0,0.0,1.0,0.0,0.0,0.0,15.0
2026-07-20 16:03:41.784,30.81,29.87,,,,28.57,927.8,20.0,-40.0,0.0,1.0,0.0,0.0,0.0,15.0
2026-07-20 16:03:41.983,30.81,29.87,,,,28.57,927.8,20.0,-40.0,0.0,1.0,0.0,0.0,0.0,15.0
2026-07-20 16:03:42.183,30.81,29.87,,,,28.59,927.8,21.0,-40.0,0.0,1.0,0.0,0.0,0.0,15.0
2026-07-20 16:03:42.383,30.81,29.87,,,,28.59,927.8,21.0,-40.0,0.0,1.0,0.0,0.0,0.0,15.0
